id_obra,cidade,uf,tipo_empreendimento,empresa_responsavel,area_construida_m2,valor_contratado,valor_aditivos,valor_executado,valor_materiais,valor_mao_de_obra,valor_compras,qtd_funcionarios,prazo_previsto_dias,prazo_realizado_dias,qtd_medicoes,qtd_fornecedores
1000,Curitiba,PR,residencial_popular,Construtora Planalto,4338.0,8828442.43,83143.93,13441699.52,7461670.43,2915964.29,7830993.01,141,647,719,23,15
1001,Campinas,SP,residencial_padrao,Estrutural Engenharia,3766.0,10594957.06,587580.2,10860855.05,6355099.13,3785032.13,6637609.53,119,539,1127,37,13
1002,Uberlandia,MG,industrial,Construtora Serrana,3579.0,22803453.02,1557587.47,25926223.41,13837950.62,8675762.61,14192019.75,93,518,539,17,11
1003,Sao Paulo,SP,residencial_padrao,Alfa Construcoes,4127.0,14586734.48,1214605.58,15246146.47,8716620.94,5031757.51,9213161.85,115,668,747,24,15
1004,Uberlandia,MG,industrial,Estrutural Engenharia,3445.0,22627309.14,1595599.5,27943440.4,12743453.17,13176109.21,13275437.96,168,649,731,24,8
1005,Belo Horizonte,MG,residencial_popular,Estrutural Engenharia,3234.0,6295160.75,352029.9,6805396.56,3648039.61,2287494.18,3924339.49,94,649,622,20,11
1006,Contagem,MG,industrial,Vertice Engenharia,4210.0,23641139.72,1853224.71,25972835.31,13963675.15,9446404.8,14384571.34,126,739,705,23,16
1007,Curitiba,PR,residencial_padrao,Engenharia Vale Verde,3000.0,10249007.99,713659.31,11181499.17,6105775.93,3771531.42,6396462.48,112,619,584,19,11
1008,Salvador,BA,residencial_padrao,Delta Obras,2467.0,9336738.29,727099.34,10286504.74,5273431.1,3536879.63,5386806.38,74,369,336,11,16
1009,Goiania,GO,comercial,Engenharia Mineira,2215.0,7725387.3,585985.71,11759469.7,6577154.29,2868134.12,7222066.4,65,427,454,15,15
1010,Campinas,SP,residencial_popular,Alfa Construcoes,3563.0,7716837.05,453475.74,8013503.69,4110422.24,2711014.02,4146180.51,93,611,569,18,10
1011,Campinas,SP,residencial_padrao,Estrutural Engenharia,4533.0,18578631.51,911666.44,19732606.85,10071887.1,5644287.47,10656372.24,146,799,799,26,14
1012,Goiania,GO,residencial_padrao,Construtora Horizonte,2754.0,7529314.3,81750.09,7500024.77,4108878.8,3022794.21,4330381.21,68,491,469,15,11
1013,Uberlandia,MG,industrial,Engenharia Mineira,8641.0,45458157.93,3674162.31,47801433.02,28072009.16,17282537.79,29343695.4,248,1577,1712,57,13
1014,Campinas,SP,residencial_padrao,Vertice Engenharia,3250.0,12709420.96,1132145.68,13792302.43,7743454.36,5367688.98,8181590.43,98,472,511,17,21
1015,Sao Paulo,SP,industrial,Beta Engenharia,1616.0,7706149.26,94599.1,8204124.84,4453356.74,2777132.2,4871274.56,54,305,335,11,13
1016,Ribeirao Preto,SP,residencial_padrao,Delta Obras,3529.0,13527951.57,178328.46,13971060.19,6538359.99,4869451.63,6699877.7,122,666,681,22,18
1017,Belo Horizonte,MG,residencial_popular,Obras & Cia,3027.0,5082204.78,152948.29,5392640.79,3082026.96,2103787.5,3221842.59,96,520,556,18,15
1018,Uberlandia,MG,industrial,Obras & Cia,3341.0,27615792.68,1646018.76,28512788.06,15354269.4,8727671.47,15849886.63,91,479,475,15,12
1019,Campinas,SP,residencial_popular,Alfa Construcoes,2748.0,4216521.3,365883.98,4886361.99,2584017.79,1581686.92,2705911.4,104,569,694,23,9
1020,Curitiba,PR,industrial,Construtora Atlantica,12740.0,63006817.03,3745337.31,67436141.41,41752945.73,21606154.49,43533360.84,327,2006,2045,68,14
1021,Campinas,SP,industrial,Engenharia Vale Verde,2646.0,15241624.83,266181.98,15249449.59,8674825.39,5800608.12,9149016.33,71,437,458,15,12
1022,Belo Horizonte,MG,comercial,Delta Obras,12174.0,72620561.7,4148323.6,77657515.59,40341348.49,24588517.12,43799985.3,335,1906,1735,57,18
1023,Goiania,GO,residencial_popular,Construtora Atlantica,1711.0,2878105.26,224341.84,3107330.36,1672716.8,1077918.46,1743708.04,47,238,201,6,14
1024,Rio de Janeiro,RJ,comercial,Alfa Construcoes,2475.0,8093979.51,337429.4,8868328.79,4333469.34,3333736.4,4507433.19,71,479,490,16,20
1025,Rio de Janeiro,RJ,residencial_padrao,Construtora Atlantica,7088.0,26437072.96,1415532.86,29309799.45,16635061.76,10986474.83,17318810.56,200,1302,1470,49,10
1026,Rio de Janeiro,RJ,comercial,Engenharia Mineira,3088.0,16427767.72,156221.09,17489796.08,10130631.86,5296588.72,10616815.11,105,552,646,21,17
1027,Salvador,BA,industrial,Estrutural Engenharia,1796.0,10828988.97,638992.54,11237082.78,6320638.58,4322449.08,6752103.35,76,287,303,10,16
1028,Campinas,SP,comercial,Alfa Construcoes,2218.0,10898441.16,4609546.94,15996205.44,6502510.21,4322433.33,6716258.71,56,323,345,11,15
1029,Rio de Janeiro,RJ,comercial,Beta Engenharia,1936.0,8512069.13,134160.12,8745676.59,5159887.7,2783258.38,5398531.11,45,358,352,11,15
1030,Campinas,SP,comercial,Engenharia Vale Verde,5793.0,29542885.28,2810103.47,32890808.5,21152280.37,11309344.96,20938522.43,134,1028,1088,36,20
1031,Curitiba,PR,residencial_padrao,Estrutural Engenharia,1594.0,3952203.34,174811.54,4181446.48,2387470.1,1498163.04,2405655.52,67,263,266,8,16
1032,Uberlandia,MG,residencial_popular,Construtora Planalto,2141.0,3927793.73,35523.25,3990570.1,2279423.97,1312338.09,2381112.85,59,321,326,10,17
1033,Salvador,BA,industrial,Construtora Horizonte,2811.0,18964600.22,1149112.88,19331406.93,9486164.65,5412629.94,9767449.04,72,486,517,17,19
1034,Goiania,GO,industrial,Delta Obras,2029.0,14645783.19,922701.69,15177374.23,7986698.36,4637961.28,8173235.56,61,305,362,12,9
1035,Ribeirao Preto,SP,residencial_popular,Construtora Horizonte,1772.0,3399890.81,300599.89,3497233.2,2053337.1,1160556.76,2123115.64,59,323,350,11,14
1036,Ribeirao Preto,SP,industrial,Delta Obras,5769.0,32834220.03,1897874.44,35844100.56,19238979.49,13743982.11,20422202.0,167,918,1107,36,23
1037,Salvador,BA,residencial_popular,Engenharia Vale Verde,3230.0,6683063.93,285970.45,7038669.75,3863986.76,2529819.3,3960582.32,119,743,713,23,13
1038,Campinas,SP,residencial_padrao,Delta Obras,5182.0,14338899.73,811254.66,14965135.45,8060602.76,5321000.11,8613359.67,155,756,724,24,15
1039,Ribeirao Preto,SP,residencial_padrao,Construtora Serrana,3333.0,12815206.78,1135943.63,14194225.67,7774584.38,4895414.87,7981509.05,89,626,690,23,19
1040,Belo Horizonte,MG,industrial,Construtora Horizonte,3741.0,21406728.69,671943.02,20865621.3,11195985.47,6056781.58,11253624.36,89,557,552,18,8
1041,Ribeirao Preto,SP,residencial_padrao,Construtora Serrana,2272.0,9745032.31,752418.71,10321228.54,5868683.66,3129099.75,6109770.94,64,383,426,14,16
1042,Uberlandia,MG,residencial_padrao,Obras & Cia,4670.0,18367211.0,1021160.78,18872042.58,11387982.57,6496883.35,12436982.5,142,651,690,23,16
1043,Campinas,SP,residencial_popular,Delta Obras,2488.0,3893022.06,353137.44,4303779.96,2097531.68,1588629.02,2168505.57,61,609,601,20,8
1044,Goiania,GO,industrial,Construtora Atlantica,2725.0,15728591.51,1199938.99,17031822.42,8680414.06,6322305.97,9287001.21,73,422,453,15,23
1045,Sao Paulo,SP,comercial,Engenharia Mineira,2557.0,10157760.98,863688.31,10609972.81,5458280.43,3690992.98,5785934.75,72,474,531,17,17
1046,Belo Horizonte,MG,residencial_padrao,Construtora Planalto,3921.0,12878870.0,770770.99,13621803.81,7634768.11,4399967.36,8059988.82,141,554,637,21,13
1047,Rio de Janeiro,RJ,industrial,Construtora Atlantica,893.0,4428643.39,1372141.19,5647202.63,2673821.01,1894392.48,2713130.35,28,144,169,5,10
1048,Contagem,MG,residencial_popular,Estrutural Engenharia,1305.0,1931051.17,150108.94,2048657.27,1193351.16,731882.38,1189474.13,34,235,270,9,12
1049,Ribeirao Preto,SP,comercial,Estrutural Engenharia,3907.0,19668027.64,72714.13,18742493.53,10711735.72,5978307.38,11322928.97,140,614,605,20,9
1050,Goiania,GO,residencial_padrao,Construtora Serrana,2193.0,8449695.85,725089.78,9183623.06,5149776.67,3043544.72,5480052.9,67,386,447,14,10
1051,Campinas,SP,residencial_popular,Construtora Atlantica,6671.0,16259441.69,486065.69,15772507.31,8478994.59,5384943.95,8854633.42,226,1032,1126,37,9
1052,Goiania,GO,residencial_padrao,Engenharia Mineira,3249.0,9903613.75,135502.51,10224415.29,4915624.2,3628969.32,5103824.19,73,554,655,21,10
1053,Sao Paulo,SP,industrial,Alfa Construcoes,3497.0,18246847.6,1157835.95,20110539.88,10800331.89,6017900.49,11334657.95,114,610,636,21,8
1054,Sao Paulo,SP,comercial,Construtora Atlantica,2295.0,6207238.21,366689.37,6627643.75,3455951.74,2057850.87,3715404.68,62,290,314,10,16
1055,Ribeirao Preto,SP,industrial,Estrutural Engenharia,4485.0,29433156.41,2927721.22,31854763.61,16965327.9,10691315.72,18216080.61,105,796,808,26,16
1056,Campinas,SP,industrial,Engenharia Vale Verde,967.0,5082518.6,20878.53,4748146.18,2428460.55,1531492.31,2535232.34,23,166,160,5,14
1057,Curitiba,PR,residencial_popular,Construtora Horizonte,1830.0,2877411.99,86918.44,2944629.24,1695810.18,1029414.69,1816297.34,61,305,315,10,10
1058,Sao Paulo,SP,residencial_popular,Construtora Serrana,2501.0,3862619.25,100562.73,4097298.3,1879719.53,1250089.15,1921662.48,59,401,445,14,10
1059,Campinas,SP,residencial_padrao,Delta Obras,3729.0,12030587.24,56993.73,12019526.32,6744465.71,4263849.71,7239057.76,95,792,689,22,19
1060,Ribeirao Preto,SP,residencial_popular,Alfa Construcoes,1176.0,2145916.24,183125.94,2454642.38,1400746.35,831751.89,1433252.18,33,204,197,6,23
1061,Salvador,BA,comercial,Vertice Engenharia,5261.0,20283284.24,645817.98,21330706.42,12109480.96,8265434.54,12945775.45,135,808,870,29,7
1062,Belo Horizonte,MG,residencial_padrao,Obras & Cia,1572.0,6220117.08,459405.65,6951891.08,3894508.73,2714843.84,4090642.4,43,306,331,11,15
1063,Uberlandia,MG,residencial_popular,Vertice Engenharia,2906.0,5172876.47,513710.39,5839137.51,3214198.89,2087279.23,3379172.06,85,566,587,19,12
1064,Ribeirao Preto,SP,residencial_padrao,Engenharia Vale Verde,3625.0,8685433.37,15773.22,8961120.69,5308289.65,3412171.67,5579901.01,117,706,760,25,16
1065,Ribeirao Preto,SP,residencial_padrao,Obras & Cia,5167.0,16226948.54,1595785.83,17652113.81,9862046.19,6071223.94,10184171.95,142,923,922,30,16
1066,Sao Paulo,SP,comercial,Engenharia Vale Verde,3417.0,12651099.77,225748.45,13432269.28,6763373.51,3848350.07,6723771.56,97,567,590,19,19
1067,Rio de Janeiro,RJ,comercial,Obras & Cia,3634.0,20324986.5,212630.04,20303606.93,10555526.95,6561508.91,10979987.28,86,486,497,16,22
1068,Sao Paulo,SP,industrial,Estrutural Engenharia,2845.0,17405573.56,555468.4,19673907.69,11490573.78,6468427.98,12399132.71,85,507,569,18,15
